Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID
Tim Patrick,DEN,CAR,WR,4200,9.6,-1.7,3,15905233
Trey Burton,IND,LV,TE,3100,7.4,-1.7,1,15905547
Sammy Watkins,KC,MIA,WR,4900,11,-1.7,3,15905209
Jets ,NYJ,SEA,DST,2100,3.5,-1.7,1,15905757
Larry Fitzgerald,ARI,NYG,WR,3500,8.2,-1.8,1,15905267
Brandon Zylstra,CAR,DEN,WR,3000,7.2,-1.8,1,15905451
Melvin Gordon III,DEN,CAR,RB,5200,11.6,-1.8,3,15904933
Wayne Gallman Jr.,NYG,ARI,RB,5700,12.5,-1.8,3,15904917
Dallas Goedert,PHI,NO,TE,4000,9.1,-1.8,3,15905521
Drew Sample,CIN,DAL,TE,3000,7,-1.9,1,15905549
Tyler Eifert,JAX,TEN,TE,3100,7.3,-1.9,1,15905541
Will Dissly,SEA,NYJ,TE,2900,6.9,-1.9,1,15905555
Keelan Cole Sr.,JAX,TEN,WR,3700,8.3,-2,1,15905259
Jacob Hollister,SEA,NYJ,TE,3100,7.2,-2,1,15905543
Jaguars ,JAX,TEN,DST,2200,3.4,-2,1,15905756
Christian Kirk,ARI,NYG,WR,4700,10.2,-2.1,3,15905217
Todd Gurley II,ATL,LAC,RB,4800,10.3,-2.2,3,15904951
Marquez Valdes-Scantling,GB,DET,WR,3900,8.5,-2.2,1,15905243
Hunter Renfrow,LV,IND,WR,4000,8.7,-2.2,1,15905241
Alvin Kamara,NO,PHI,RB,7100,14.9,-2.2,7,15904883
Cam Sims,WAS,SF,WR,3100,6.9,-2.2,1,15905299
Quintez Cephus,DET,GB,WR,3200,7.1,-2.3,1,15905289
Steven Mitchell Jr.,HOU,CHI,WR,3000,6.7,-2.3,,15905477
Nyheim Hines,IND,LV,RB,5200,11.1,-2.3,3,15904931
Sam Darnold,NYJ,SEA,QB,5100,13.5,-2.3,1,15904826
David Moore,SEA,NYJ,WR,3400,7.5,-2.3,1,15905275
Amari Cooper,DAL,CIN,WR,6500,13.4,-2.4,7,15905165
Vikings ,MIN,TB,DST,2300,3.1,-2.5,1,15905753
Allen Lazard,GB,DET,WR,5000,10.4,-2.6,3,15905201
Kendrick Bourne,SF,WAS,WR,3700,7.8,-2.6,1,15905257
Anthony Firkser,TEN,JAX,TE,3600,7.5,-2.6,1,15905533
Brandon Powell,ATL,LAC,WR,3000,6.3,-2.7,1,15905319
Lynn Bowden Jr.,MIA,KC,WR,3000,6.3,-2.7,1,15905413
Raheem Mostert,SF,WAS,RB,6200,12.6,-2.7,3,15904903
Colts ,IND,LV,DST,3200,4.7,-2.7,1,15905736
Frank Gore,NYJ,SEA,RB,4000,8.1,-2.8,1,15905033
Jordan Reed,SF,WAS,TE,3500,7.1,-2.8,3,15905537
Phillip Lindsay,DEN,CAR,RB,4300,8.6,-2.9,1,15904969
Mecole Hardman,KC,MIA,WR,3200,6.5,-2.9,1,15905293
Jalen Guyton,LAC,ATL,WR,3200,6.5,-2.9,1,15905291
Chase Edmonds,ARI,NYG,RB,4600,9.2,-3,1,15904955
Peyton Barber,WAS,SF,RB,4400,8.7,-3.1,3,15904967
Lions ,DET,GB,DST,2000,1.8,-3.2,1,15905758
Dolphins ,MIA,KC,DST,2800,3.3,-3.2,1,15905743
A.J. Green,CIN,DAL,WR,3000,5.7,-3.3,1,15905397
Henry Ruggs III,LV,IND,WR,4600,8.8,-3.3,3,15905223
Miles Sanders,PHI,NO,RB,6200,14,-3.3,3,15904905
Emmanuel Sanders,NO,PHI,WR,4300,8.1,-3.4,1,15905229
Tre'Quan Smith,NO,PHI,WR,3300,6.1,-3.4,1,15905285
Greg Ward,PHI,NO,WR,3100,5.7,-3.4,1,15905297
Laviska Shenault Jr.,JAX,TEN,WR,4100,7.7,-3.5,1,15905237
Christian Blake,ATL,LAC,WR,3000,5.3,-3.6,1,15905317
James O'Shaughnessy,JAX,TEN,TE,2500,4.4,-3.6,1,15905707
Cordarrelle Patterson,CHI,HOU,WR,3600,6.4,-3.7,1,15905261
Clyde Edwards-Helaire,KC,MIA,RB,5900,10.9,-3.8,1,15904913
Jared Cook,NO,PHI,TE,3800,6.8,-3.8,1,15905525
Latavius Murray,NO,PHI,RB,5400,9.8,-3.9,1,15904923
Jeff Smith,NYJ,SEA,WR,3000,5,-3.9,1,15905389
Jeff Wilson Jr.,SF,WAS,RB,4000,7,-4,1,15905007
Chris Herndon,NYJ,SEA,TE,2500,3.9,-4.1,1,15905619
Demarcus Robinson,KC,MIA,WR,3800,6.4,-4.2,1,15905253
Jalen Reagor,PHI,NO,WR,4400,9.6,-4.2,1,15905227
Jimmy Graham,CHI,HOU,TE,3000,4.7,-4.3,1,15905553
Ty Johnson,NYJ,SEA,RB,4700,8,-4.3,1,15904953
Marcedes Lewis,GB,DET,TE,2500,3.6,-4.4,1,15905721
Darren Fells,HOU,CHI,TE,2500,3.6,-4.4,1,15905703
Durham Smythe,MIA,KC,TE,2500,3.6,-4.4,1,15905641
Andy Isabella,ARI,NYG,WR,3000,4.5,-4.5,1,15905419
Jamaal Williams,GB,DET,RB,6000,10.3,-4.6,1,15904909
Le'Veon Bell,KC,MIA,RB,4400,7,-4.7,1,15904963
Cameron Brate,TB,MIN,TE,3000,4.3,-4.7,1,15905551
Ian Thomas,CAR,DEN,TE,2500,3.2,-4.8,1,15905675
Chris Conley,JAX,TEN,WR,3000,4.1,-4.8,1,15905483
Jack Doyle,IND,LV,TE,2500,3.1,-4.9,1,15905609
Dan Arnold,ARI,NYG,TE,3600,5.1,-5,1,15905531
Kalen Ballage,LAC,ATL,RB,4000,5.9,-5,1,15904979
Chad Beebe,MIN,TB,WR,3000,4,-5,1,15905309
